name,region,state,tier,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc,fy2016_endowment_pc,fy2016_endowment_thousands,log_endow_pc,is_ivy
Kettering University,2,MI,4,Highly selective private,2,8894.9971,1684,36980,26542,0.6077922077922078,7704,1210,NA,0.031106485,0,100100,0.041647803,0.091911294,0.15493441,0.30737162,0.40413493,0.067213289,0.0051637678,85400,0.28100237,0.023946611,38775.87389,75432,10.565553525250479,FALSE
Knox College,2,IL,4,Highly selective private,2,11128.689,1424,40497,15725,0.7947882736156351,5295,NA,NA,0.010817061,6.9381553e-4,99900,0.042475175,0.099849001,0.16248356,0.27282953,0.42236274,0.11446815,0.017861316,44700,0.09364567,0.019112131,89805.46818,123722,11.405401145309446,FALSE
Lafayette College,1,PA,2,Other elite schools (private and public),2,18190.701,2486,45635,9747,0.883248730964467,10996,1300,NA,0.016269231,0.001419495,156700,0.027788993,0.029509699,0.098437242,0.16700178,0.67726219,0.35179335,0.099882178,75300,0.29891801,0.065584026,292712.1756,733244,12.586945069354966,FALSE
Lehigh University,1,PA,2,Other elite schools (private and public),2,15683.051,4931,44890,16142,0.8583690987124464,12344,1320,NA,0.018740082,9.5511891e-4,138300,0.032861903,0.061060429,0.11308983,0.1820063,0.61098158,0.32655367,0.099099644,81200,0.36192107,0.1003074,179117.4386,1162711,12.095796951259718,FALSE
Loyola University New Orleans,3,LA,4,Highly selective private,2,9412.6406,2946,36630,16589,0.548582995951417,8612,1120,NA,0.015620732,0.0015042003,113800,0.054181024,0.09901002,0.12348485,0.20940006,0.513924,0.20338193,0.051247224,42800,0.10808825,0.018747626,71145.0248,243814,11.172475675563609,FALSE
Macalester College,2,MN,2,Other elite schools (private and public),2,15990.338,2039,47195,12117,0.8742268041237113,9450,1367.5,NA,0.0139422,1.2773109e-4,115500,0.04760595,0.0804919,0.14552014,0.20309329,0.52328873,0.22699536,0.048453167,47000,0.10600132,0.028747361,325770.3164,700189,12.69394786111596,FALSE
Marquette University,2,WI,4,Highly selective private,2,8646.0977,8365,35930,18795,0.7824406405300939,9665,1195,NA,0.011462465,8.4768678e-4,124800,0.027533337,0.05864165,0.11006212,0.22035825,0.58340454,0.22018613,0.054979477,60100,0.1815597,0.039403487,52058.8625,550106,10.86013032852114,FALSE
Middlebury College,1,VT,2,Other elite schools (private and public),2,27825.463,2517,45957.313,7357,0.93603744149766,10587.2,1365,NA,0.012677005,0.0017261272,219600,0.023217954,0.040311631,0.079544425,0.098832816,0.75809318,0.51958042,0.21107145,61800,0.27781358,0.11343364,395493.2806,1000598,12.887889076412145,FALSE
Mount Holyoke College,1,MA,4,Highly selective private,2,17656.627,2183,42656,13169,0.8187134502923976,9715,NA,NA,0.025985811,0.0025918151,108700,0.060082663,0.09487877,0.14655104,0.21037002,0.48811758,0.23000088,0.046659976,48900,0.097075485,0.015882751,309214.9143,667595,12.641791829655025,FALSE
Muhlenberg College,1,PA,4,Highly selective private,2,14762.75,2448,44145,14567,0.8584392014519057,8429,NA,NA,0.010286807,0.0020260571,150300,0.022099353,0.036918752,0.070275374,0.18310079,0.68760568,0.32174984,0.077504151,60100,0.22285779,0.05826959,105676.9362,246967,11.568141947481477,FALSE
