name,region,state,tier,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc,fy2016_endowment_pc,fy2016_endowment_thousands,log_endow_pc,is_ivy
Bowdoin College,1,ME,2,Other elite schools (private and public),2,21796.42,1795,46808,4754,0.9326315789473684,10803,NA,NA,0.010947428,8.7762868e-4,177600,0.026358966,0.051449575,0.093983881,0.1360158,0.69219184,0.43701988,0.1536718,61000,0.25249949,0.085235901,746230.3694,1339981,13.522789637681308,FALSE
Brandeis University,1,MA,2,Other elite schools (private and public),2,15709.19,3614,47475,13644,0.8958630527817404,11328,1365,NA,0.020382755,0.0037860365,142700,0.040012892,0.069371127,0.11065703,0.16196483,0.61799419,0.31855661,0.086154282,63100,0.24771248,0.076518171,160951.5969,866778,11.988858958392553,FALSE
Brown University,1,RI,1,Ivy Plus,2,28680.811,6455,47434,5234,0.9451591062965472,13381,1440,NA,0.015486852,0.0020264117,197000,0.029180808,0.042766131,0.070927814,0.12094032,0.73618495,0.4801276,0.18865089,66900,0.31550881,0.13741633,326290.0242,2963366,12.69554190963475,TRUE
Bryn Mawr College,1,PA,2,Other elite schools (private and public),2,24117.848,1328,45540,14097,0.840909090909091,9775,1320,NA,0.018263785,0.0012667102,125400,0.051568918,0.088967226,0.12213887,0.17481363,0.56251127,0.27508262,0.070389114,47400,0.13419098,0.029328112,485654.5491,797121,13.093252845820478,FALSE
Bucknell University,1,PA,2,Other elite schools (private and public),2,17158.783,3532,48498,19934,0.9075535512965052,10168,1305,NA,0.014601452,0.001628744,149800,0.026475985,0.057272293,0.10861945,0.1671465,0.64048576,0.36212891,0.11221072,71800,0.31738994,0.095492952,201064.57,722425,12.211381379234572,FALSE
Carleton College,2,MN,2,Other elite schools (private and public),2,21752.109,2045,47736,10300,0.9214145383104124,10669,1415,NA,0.013661893,0.001484305,152000,0.025803708,0.044767044,0.10180618,0.1799393,0.64768386,0.35095957,0.083253548,51700,0.17163351,0.056850538,368576.5646,738136,12.817403742706636,FALSE
Case Western Reserve University,2,OH,2,Other elite schools (private and public),2,27416.066,4661,43158,15222,0.8012367491166078,10272,1370,NA,0.017887011,0.0018017193,118200,0.032713771,0.065086842,0.13811813,0.22673118,0.53735012,0.18254972,0.035472538,73400,0.30714098,0.086814828,157059.7292,1662739,11.964381452745538,FALSE
Clark University,1,MA,4,Highly selective private,2,10793.418,2380,40730,17786,0.8094405594405595,9630,NA,NA,0.022418769,0.0016414659,103000,0.05281157,0.096697249,0.1681546,0.23460267,0.44773394,0.18150261,0.050328232,49600,0.10537775,0.022100532,113711.3444,371874,11.641418449607535,FALSE
Colgate University,1,NY,2,Other elite schools (private and public),2,18798.379,2890,48175,7134,0.9086021505376344,10985,1375,NA,0.0087406812,0.0010027857,208900,0.02392368,0.05331241,0.069005579,0.12226261,0.73149574,0.50260758,0.19767268,71500,0.33427224,0.12578508,288813.7083,821675,12.573537151287056,FALSE
Colorado College,4,CO,4,Highly selective private,2,17548.145,2041,46410,11662,0.8721374045801527,10886,NA,NA,0.018225832,0.002691631,154600,0.048108205,0.079629481,0.11831924,0.14019668,0.6137464,0.38977557,0.13256186,43600,0.1311245,0.032880832,323037.8251,683225,12.685524700921226,FALSE
Connecticut College,1,CT,2,Other elite schools (private and public),2,18508.02,1915,47740,6586,0.8353658536585366,9574,NA,NA,0.015796896,0.0016020592,170500,0.031054907,0.060571387,0.082687154,0.14583586,0.6798507,0.41683662,0.13932349,55500,0.15757817,0.041153256,145570.7698,273576,11.888417637722233,FALSE
Cornell University,1,NY,1,Ivy Plus,2,21218.816,14393,47286,9149,0.9334442595673877,13820,1420,NA,0.029070236,0.0050723562,143300,0.048977412,0.072817601,0.10707949,0.15052344,0.62060207,0.32325426,0.091139019,79800,0.38895714,0.14479831,263559.5532,5757722,12.482034629776662,TRUE
Dartmouth College,1,NH,1,Ivy Plus,2,21772.873,4276,48108,9858,0.9470377019748654,13143,1455,NA,0.013762614,0.0036311145,185500,0.027713936,0.051006421,0.081291251,0.12927108,0.71071732,0.4569706,0.17733659,76600,0.39081025,0.17672077,713166.0822,4474404,13.477469606633289,TRUE
Davidson College,3,NC,2,Other elite schools (private and public),2,17948.527,1788,45377,9479,0.9245689655172412,11706,1335,NA,0.0041020564,0.0017017338,208500,0.013816977,0.035382777,0.069171324,0.10971762,0.77191138,0.49338904,0.17505419,60300,0.27753106,0.096828543,371034.7534,661926,12.824051012134964,FALSE
Denison University,2,OH,4,Highly selective private,2,14657.806,2274,45670,9498,0.8136752136752137,8414,NA,NA,0.0093918415,0.0013203255,149300,0.031097684,0.058350503,0.10251603,0.16279356,0.64524221,0.34794077,0.093930125,53700,0.17089403,0.045783628,317925.4217,716180,12.66957211130153,FALSE
Dickinson College,1,PA,4,Highly selective private,2,16881.635,2396,47692,15278,0.8562197092084005,8726,NA,NA,0.012097311,0.0016719992,136600,0.022410417,0.053809442,0.11695296,0.20052758,0.60629964,0.30393133,0.10373,55100,0.1543889,0.039086867,158714.246,381020,11.9748606693414,FALSE
Duke University,3,NC,1,Ivy Plus,2,55339.918,6646,47243,6871,0.9423190111830488,14288,1460,NA,0.016026281,0.0042524287,196000,0.03180375,0.051623411,0.074047938,0.12539901,0.71712601,0.47915623,0.19215614,87500,0.43752769,0.20383582,442704.2071,6839780,13.000657121950432,TRUE
Elon University,3,NC,4,Highly selective private,2,13526.571,5599,31247,19249,0.8164852255054433,8485,1225,NA,0.0063649565,3.7003716e-5,146000,0.020629592,0.047432169,0.097863033,0.17212591,0.66194928,0.29225561,0.067646362,47300,0.11685187,0.022861997,31260.30728,201431,10.350104433741615,FALSE
