ID,GUID,URL,LAST_ACCESSED,CROP_TOP,CROP_RIGHT,CROP_BOTTOM,CROP_LEFT,exp_q1_res_count,exp_q1_mean,exp_q1_median,exp_q1_sd,exp_q2_res_count,exp_q2_mean,exp_q2_median,exp_q2_sd,exp_q3_res_count,exp_q3_mean,exp_q3_median,exp_q3_sd,exp_q4_res_count,exp_q4_mean,exp_q4_median,exp_q4_sd,exp_congruence_mean,exp_congruence_median,exp_congruence_sd,con_q1_res_count,con_q1_mean,con_q1_median,con_q1_sd,con_q2_res_count,con_q2_mean,con_q2_median,con_q2_sd,con_q3_res_count,con_q3_mean,con_q3_median,con_q3_sd,con_congruence_mean,con_congruence_median,con_congruence_sd
0692,65f4d63e1113caacba192b40,https://www.vivesceramica.com/assets/images/a/maxi/VIVES_Ceramica-A241_v21_POP_TILE_Popart.jpg,2024-11-22,0.0,0.695,0.695,0.0,9,1.5555555555555556,2.0,0.5270462766947299,9,2.7777777777777777,3.0,1.3944333775567928,10,1.9,2.0,0.9944289260117531,4,1.5,1.0,1.0,4.177777777777777,6.0,2.607732376574435,18,1.8333333333333333,2.0,1.0981267472114395,16,2.0,2.0,1.1547005383792515,10,3.2,3.0,1.1352924243950933,2.733333333333334,2.0,0.11314758233562383
0693,65f4d63e1113caacba192b41,https://www.halconceramicas.com/storage/grand-canyon-grey-mate-60x120-amb01-1677073639kgBP5.jpg,2024-11-22,0.156,0.591,1.0,0.0,10,4.1,4.0,0.9944289260117531,9,3.7777777777777777,4.0,1.4813657362192647,9,4.555555555555555,5.0,0.5270462766947298,4,4.0,4.0,0.816496580927726,2.4333333333333327,3.0,3.040890723657632,16,3.9375,4.0,1.2893796958227628,26,3.5384615384615383,4.0,1.1395005653625359,19,2.9473684210526314,3.0,1.393384536958932,1.9802631578947372,2.0,0.5077679431927922
0694,65f4d63e1113caacba192b42,https://www.vivesceramica.com/assets/images/a/maxi/VIVES-CERAMICA_POPTILE_A722_v05.jpg,2024-11-22,0.0,0.681,0.681,0.0,7,2.4285714285714284,2.0,1.618347187425374,9,2.7777777777777777,3.0,1.2018504251546631,10,2.3,2.5,0.8232726023485646,4,2.75,2.5,0.957427107756338,1.7547619047619052,3.0,2.629647072628753,23,2.8260869565217392,3.0,1.0292174393923799,15,2.7333333333333334,2.0,1.0997835284835873,16,2.375,2.0,1.0878112581387147,0.9021739130434785,2.0,0.14113217818241486
0695,65f4d63e1113caacba192b43,https://www.vivesceramica.com/assets/images/a/maxi/VIVES-CERAMICA_POPTILE_A721_v05.jpg,2024-11-22,0.0,1.0,0.695,0.305,7,2.571428571428572,2.0,1.5118578920369088,9,2.111111111111111,2.0,0.927960727138337,9,3.111111111111111,3.0,1.0540925533894598,4,2.25,2.0,1.5,3.321428571428572,3.0,2.1975989413062558,19,3.210526315789474,3.0,1.228320776436091,15,2.933333333333333,3.0,1.3870146083619752,20,2.75,3.0,1.019545822516343,0.9210526315789478,0.0,0.7349375716912645
0696,65f4d63f1113caacba192b44,https://www.vivesceramica.com/assets/images/a/maxi/A710_v23_PopTile_Wha_Popart.jpg,2024-11-22,0.401,0.599,1.0,0.0,7,1.7142857142857142,2.0,0.7559289460184545,9,2.7777777777777777,4.0,1.4813657362192647,10,1.7,1.5,0.8232726023485646,4,1.25,1.0,0.5,4.597619047619047,9.5,3.0114408649879043,21,2.1904761904761907,2.0,1.1670067531530235,13,2.230769230769231,2.0,1.0127393670836666,16,2.875,3.0,1.4548768561863463,1.3690476190476186,2.0,0.8842749782053594
0697,65f4d63f1113caacba192b45,https://www.vivesceramica.com/assets/images/a/maxi/A701_Pop_tile_Ferus_Seine_blanco.jpg,2024-11-22,0.425,0.78,0.999,0.206,8,1.25,1.0,0.4629100498862757,9,2.333333333333333,2.0,0.7071067811865475,9,1.6666666666666667,1.0,1.0,4,1.25,1.0,0.5,3.666666666666667,3.0,1.81837663152772,20,1.95,1.5,1.190974832912761,17,1.7058823529411764,1.0,0.8488746876271654,23,3.130434782608696,4.0,1.5167053955587408,2.8491048593350388,6.0,1.3356614158631508
0698,65f4d63f1113caacba192b46,https://www.halconceramicas.com/storage/palatina-blanco-brillo-45x45-amb01.jpg,2024-11-22,0.149,0.75,0.999,0.148,8,4.25,4.5,1.035098339013531,9,3.111111111111111,3.0,1.0540925533894598,9,4.555555555555555,5.0,0.5270462766947298,4,2.5,2.0,1.914854215512676,7.305555555555555,10.5,4.182418030829767,22,4.5,5.0,0.7400128699009549,17,3.7058823529411766,4.0,1.3117119482928095,14,3.9285714285714284,4.0,1.328057326976612,1.5882352941176467,2.0,1.1760889141513142
0699,65f4d6401113caacba192b47,https://www.vivesceramica.com/assets/images/a/maxi/VIVESCERAMICA-A760_Pop_tile_Harris_Celeste.jpg,2024-11-22,0.409,0.591,1.0,0.0,8,1.625,2.0,0.5175491695067657,9,2.4444444444444446,2.0,1.2360330811826103,10,1.3,1.0,0.6749485577105528,4,1.0,1.0,0.0,4.658333333333334,4.0,3.865498631751618,21,2.5238095238095237,2.0,1.4006801069140526,27,2.1481481481481484,2.0,1.1994775690884922,18,3.4444444444444446,4.0,1.3382263161373769,2.5925925925925926,4.0,0.4024050756511208
0700,65f4d6401113caacba192b48,https://www.halconceramicas.com/storage/nogal-ash-225x1195-amb01-1695199479LClGt.jpg,2024-11-22,0.167,1.0,0.999,0.41,8,3.75,4.0,0.8864052604279183,9,3.2222222222222223,3.0,1.4813657362192647,9,4.0,4.0,0.8660254037844386,4,3.75,3.5,0.957427107756338,2.333333333333333,3.5,1.9170428446328984,14,4.071428571428571,4.0,1.0716117059605352,16,3.8125,4.0,0.9810708435174292,18,3.2222222222222223,3.5,1.0602749674192766,1.6984126984126977,1.0,0.181081724886212
0701,65f4d6401113caacba192b49,https://urbanmood.sg/cdn/shop/files/TRZ1002C.png,2024-11-22,0.48,0.76,1.0,0.24,0,,,,0,,,,0,,,,0,,,,,,,18,2.5,2.0,1.1504474832710556,20,2.15,2.0,1.2680278927697548,13,2.6153846153846154,3.0,1.3867504905630728,0.930769230769231,2.0,0.4726060145840343
