super_opeid,name,region,state,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000
2778,Mount Saint Mary College,1,NY,Selective private,2,5800.9775,2203,27312,16789,0.521978021978022,8458,1005,NA
2086,Mount Saint Mary's University,3,MD,Selective private,2,7706.0737,1741,36021,18556,0.65625,7121,1050,NA
1243,Mount St. Mary's College,4,CA,Selective private,2,6333.2393,2625,34826,22749,0.6555555555555556,8055,915,NA
7085,Mount Vernon Nazarene University,2,OH,Selective private,2,5202.3032,1829,16095,15952,0.6085714285714284,6099,985,NA
3304,Muhlenberg College,1,PA,Highly selective private,2,14762.75,2448,44145,14567,0.8584392014519057,8429,NA,NA
3206,Multnomah University,4,OR,Nonselective four-year private not-for-profit,2,4636.4707,438,22100,21322,0.4714285714285715,5433,1070,NA
1977,Murray State University,3,KY,Selective public,1,5775.2056,9172,7392,7381,0.5309798270893372,7145,1000,2743.865
3084,Muskingum University,2,OH,Selective private,2,6568.3101,1728,24676,13333,0.4790697674418605,7269,1000,NA
34555,National Labor College,3,MD,Nonselective four-year private not-for-profit,2,8852.6553,623,NA,NA,NA,8618,NA,NA
11460,National University,4,CA,Nonselective four-year private not-for-profit,2,3562.2566,10074,12384,21407,0.3846153846153846,9703,NA,NA
2779,Nazareth College Of Rochester,1,NY,Selective private,2,9300.2051,2034,30562,16517,0.6798245614035088,7831,NA,NA
2555,Nebraska Wesleyan University,2,NE,Selective private,2,6281.7583,1927,28500,17269,0.6849315068493149,6285,1095,NA
3988,Neumann University,1,PA,Selective private,2,4010.3923,2573,25860,20317,0.5018518518518519,6649,855,NA
41143,Nevada State College,4,NV,Nonselective four-year public,1,3025.3762,3377,4482,9252,0.1379310344827586,7570,NA,NA
39574,New College Of Florida,3,FL,Highly selective public,1,11451.307,793,6916,7007,0.6584158415841584,7952,1280,NA
2579,New England College,1,NH,Selective private,2,4066.4792,1478,33900,28494,0.3979238754325259,6008,NA,NA
7845,New England Institute Of Technology,1,RI,Nonselective four-year private not-for-profit,2,8317.6875,2860,22371,24080,NA,6127,NA,NA
23471,New England School Of Communications,1,ME,Nonselective four-year private not-for-profit,2,5252.603,457,16340,18620,NA,4044,NA,NA
2613,New Jersey City University,1,NJ,Selective public,1,7012.4287,6437,10852,8561,0.3174114021571649,9101,890,308.75751
2621,New Jersey Institute Of Technology,1,NJ,Selective public,1,7870.374,7317,15648,11384,0.5767123287671233,11262,1165,4286.7349
2653,New Mexico Highlands University,4,NM,Selective public,1,4584.6011,2396,4500,8809,0.1844380403458213,6118,NA,601.65649
2654,New Mexico Institute Of Mining & Technology,4,NM,Highly selective public,1,7419.4712,1604,6256,7612,0.4416666666666665,6908,1215,11548.165
2657,New Mexico State University,4,NM,Selective public,1,4522.8848,27708,3934.9253,6710.085,NA,6799.2808000000005,957.5,NA
20662,"New School, The",1,NY,Nonselective four-year private not-for-profit,2,9824.3975,6777,41219,28398,0.6458982346832814,9716,1115,NA
2696,New York City College Of Technology Of The City University Of New,1,NY,Selective public,1,5951.1328,16860,6369,4716,NA,6700,NA,NA
2782,New York Institute Of Technology,1,NY,Selective private,2,11993.791,4456,32180,19148,NA,11418,1065,NA
2785,New York University,1,NY,Other elite schools (public and private),2,24871.623,24770,46170,25062.287,0.8141469831709404,13139.33,1345,NA
3440,Newberry College,3,SC,Selective private,2,5416.6431,1039,24075,18405,0.4458204334365325,5099,940,NA
7484,Newbury College,1,MA,Selective private,2,4975.0986,962,29930,21638,0.302491103202847,6185,NA,NA
1939,Newman University,2,KS,Selective private,2,2883.998,2795,24710,16206,0.518796992481203,5684,990,NA
2788,Niagara University,1,NY,Selective private,2,6377.8779,3227,29060,12372,0.6512890094979648,8135,1035,NA
2005,Nicholls State University,3,LA,Selective public,1,4387.8462,5888,7234,7770,0.4262452107279693,5785,1055,807.17499
2197,Nichols College,1,MA,Selective private,2,4390.1543,1281,32370,23877,0.4655963302752293,5479,NA,NA
3765,Norfolk State University,3,VA,Selective public,1,5442.251,6021,7552,10139,0.3755924170616114,7608,870,NA
2905,North Carolina Agricultural & Technical State University,3,NC,Selective public,1,7681.4585,8872,5642,6743,0.4289356277884003,8227,910,1378.8589
2950,North Carolina Central University,3,NC,Selective public,1,8656.9619,6220,5526,8699,0.3972491909385114,7653,885,3876.9648
2972,North Carolina State University,3,NC,Selective public,1,11762.114,24536,8296,6456,0.7407949790794979,9774,1245,10853.489
2951,North Carolina Wesleyan College,3,NC,Selective private,2,4126.7183000000005,1602,27400,16913,0.3319672131147541,5438,950,NA
1734,North Central College,2,IL,Selective private,2,7238.4033,2797,34230,16656,0.6389548693586699,7337,NA,NA
2369,North Central University,2,MN,Selective private,2,5036.1582,1301,20776,18290,0.4380530973451328,7177,980,NA
2997,North Dakota State University - Main Campus - Fargo,2,ND,Selective public,1,6372.9917,11948,7820,10296,0.504915454187967,8163,1142.5,1304.781
3441,North Greenville University,3,SC,Nonselective four-year private not-for-profit,2,4169.2798,2257,15510,13639,0.5463510848126233,5568,1115,NA
1735,North Park University,2,IL,Selective private,2,5310.3887,2204,24600,14456,0.5630026809651475,7535,998,NA
9704,North Seattle College,4,WA,Nonselective four-year public,1,4135.8809,6118,3862,2398,NA,6074,NA,490.0101
