SUPER_OPEID,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc
2972,0.013513586,6.0019048e-4,111400,0.042567462,0.082309589,0.14161217,0.23833674,0.49517399,0.14253864,0.022383779,52300,0.14761452,0.026383851
2951,0.01446971,0,63100,0.14657028,0.22897138,0.19311367,0.2032764,0.22806831,0.043687969,0.0095071094,34100,0.030676592,0.0046426384
1734,0.01095138,1.1639297e-5,103700,0.034014158,0.083188772,0.16603683,0.29315388,0.42360634,0.101014,0.018419025,48800,0.092448026,0.014319602
5265,0.0062031541,1.726348e-4,58900,0.11959387,0.19976375,0.34819964,0.2003673,0.13207546,0.028983092,0.0057820184,40600,0.030460209,0.0039742375
2299,0.0084458524,0,60500,0.11962216,0.21805927,0.29395038,0.24497463,0.12339353,0.018821524,0.0041162889,24700,0.013287053,0.0013217691
2514,0.011839986,8.590419e-5,57900,0.14708339,0.23284245,0.32117388,0.24726021,0.051640145,0.012822495,0.0015884207,29300,0.01298199,0.0010457835
5313,0.01094767,0,60100,0.11625131,0.2266244,0.30538431,0.26872236,0.083017625,0.011523082,0.0021052263,26300,0.0092440201,6.6109264e-4
3558,0.01539164,0,79800,0.10914198,0.14560725,0.19952634,0.27477467,0.27094981,0.050143804,0.0059309634,32500,0.035758309,0.0059940726
2369,0.0083867377,7.7104953e-5,74000,0.0591686,0.15353702,0.26573941,0.32647261,0.19508232,0.027210481,0.0039987061,28700,0.022142813,7.0370018e-4
7111,0.025142675,8.0620594e-5,61000,0.18513244,0.22501802,0.23472878,0.26467025,0.090450615,0.01127181,0.001519152,24900,0.013152354,4.1179085e-4
2996,0.029729828,4.9122144e-4,63200,0.09716019,0.21643797,0.31671128,0.26753706,0.10215352,0.0092424667,0.0017784513,43500,0.072806276,0.010455242
2997,0.016936833,7.9503073e-4,81900,0.051573493,0.12507877,0.23971015,0.32444644,0.25919122,0.052257132,0.0065052011,50600,0.12144152,0.023182066
1508,0.013784372,0.0017042104,48800,0.24873814,0.23944145,0.21248859,0.21040665,0.08892519,0.011791307,0.0027970562,26500,0.021320591,0.0038841392
5619,0.024540316,7.5579985e-5,42300,0.29450026,0.26407343,0.2090282,0.16070941,0.071688697,0.011306378,0.0044514746,17700,0.0065842969,7.7926531e-4
3441,0.011263216,9.6206626e-5,77100,0.067824349,0.1526874,0.26323062,0.3181819,0.19807574,0.021262029000000002,0.0026405836,32200,0.043725342,0.0062858937
1623,0.015460284,4.6806652e-4,59600,0.14090839,0.20564279,0.2739763,0.2439394,0.13553305,0.024741009,0.0042410139,26700,0.025576198,0.0021632623
1877,0.011107272,8.2506567e-6,62100,0.098761387,0.21441078,0.31331187,0.28108352,0.092432477,0.011243650000000001,0.0020688234,33300,0.021806672,0.0024759714
1735,0.017052133,0,87200,0.073835373,0.13381635,0.1923323,0.27284494,0.32717103,0.079049833,0.021609409,40200,0.046180323,0.0094599817
9704,0.021387789,5.5913843e-5,71200,0.11944085,0.17674798,0.22008106,0.24016471,0.24356544,0.056082569,0.0077231526,28800,0.04191469,0.0042714979
2173,0.018503016,3.420616e-4,72000,0.13870798,0.16420448,0.20475818,0.27706879,0.2152606,0.033451647,0.0053372839,29300,0.028489547,0.001177291
